1000	0.801	6.400	18.692	8.1	16.4
2000	1.559	11.656	37.556	16.1	33.5
4000	3.148	22.876	74.184	33.1	67.2
8000	6.093	46.075	153.439	61.5	123.3
16000	13.391	93.635	347.723	137.7	270.1
32000	39.435	223.088	693.814	400.1	701.2	
64000	80.292	444.441	1498.011	805.1	1312.2
128000	166.299	891.371	2939.270	1729	3492
256000	256.920	1782.594	5949.732	2626	5095
512000	471.909	3595.409	12275.292	4901	
1024000	969.841	7343.889	25247.506	9538
2048000	2099.257	15199.291	52270.395	21901	42585
4096000	4566.440	31844.837	108929.456	45970	92028
8192000	9577.188	66072.659	229506.262	96279	201543
16384000	20535.587	136219.277	475727.187	209355	418711
