100	0.464	13.325	9.054	6.435	10.362	6.067	5.954
200	0.803	9.874	31.073	10.747	15.575999999999999	24.402	6.980
400	1.271	16.166	108.479	13.926	26.73	33.942	7.083
800	2.253	28.771	411.012	26.378	50.446000000000005	88.421	8.716
1600	4.450	54.948	1592.199	47.916	96.58	157.058	21.270
3200	9.068	108.214	6286.046	96.58	183.7	365.485	59.569
6400	19.593	212.851	24794.269	192.35699999999997	379.34599999999995	764.902	181.909	
12800	36.961	435.701	99635.135	382.459	804.144	2105.756	613.416
25600	74.675	897.480	416707.233	776.611	1598.674	5742.354	2538.359
51200	148.414	1857.193	1649779.175	1593.35	3183.796	8551.775	6336.370
102400	307.162	3677.073	-1	3288.835	6556.813999999999	18091.413	14220.437
